"Carimbo de data/hora","Você é aluno: ","Qual o seu curso?","Você tem acesso à internet em casa?","Você considera sua internet: ","Que dispositivos você possui: ","Você tem condições de acompanhar as aulas à distância? ","Você teria disponibilidade de se deslocar de sua residência para acompanhar as aulas (se tivesse um espaço adequado para estudar na sua cidade e seguindo as normas de prevenção)?","Você conhece alguém que estuda na UnB e não tem acesso à internet (e não pode responder a esse questionário)?"
"2020/06/27 4:38:10 AM GMT","de Graduação","Ciências Sociais","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 4:42:26 AM GMT","de Graduação","Engenharia de Produção","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 4:50:46 AM GMT","de Graduação","Engenharia ambiental","Sim","Rápida","Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 4:51:41 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone","Sim","Não","Não"
"2020/06/27 4:58:56 AM GMT","de Graduação","Arquitetura e Urbanismo ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 5:09:16 AM GMT","de Graduação","CiAmb","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:09:54 AM GMT","de Graduação","Fonoaudiologia","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Não","Sim"
"2020/06/27 5:11:24 AM GMT","de Graduação","Filosofia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:11:56 AM GMT","de Graduação","Farmácia","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Sim"
"2020/06/27 5:15:51 AM GMT","de Graduação","Nutrição","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:16:15 AM GMT","de Graduação","Biblioteconomia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 5:28:53 AM GMT","de Graduação","Serviço Social ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 5:30:27 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:31:04 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 6:00:46 AM GMT","de Graduação","Letras ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 6:25:40 AM GMT","de Graduação","farmácia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 6:26:55 AM GMT","de Graduação","Engenharia de Computacao","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 6:30:42 AM GMT","de Graduação","Biotecnologia","Não","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 6:32:07 AM GMT","de Graduação","Biblioteconomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 6:45:17 AM GMT","de Graduação","Ciências Contábeis","Sim","Lenta","Smartphone","Sim","Sim","Não"
"2020/06/27 6:55:34 AM GMT","de Graduação","Medicina Veterinária ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 7:20:02 AM GMT","de Graduação","Biblioteconomia ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 7:23:44 AM GMT","de Graduação","Direito ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 7:25:56 AM GMT","de Graduação","Comunicação Social","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 7:46:39 AM GMT","de Graduação","Ciência da computação","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 8:44:39 AM GMT","de Graduação","Ciência política ","Sim","Moderada","Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 9:57:12 AM GMT","de Graduação","Engenharia  Química ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 10:19:52 AM GMT","de Graduação","Letras Espanhol ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 10:24:05 AM GMT","de Graduação","Jornalismo ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 10:33:55 AM GMT","de Graduação","Cic ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 10:40:41 AM GMT","de Graduação","Letras","Não","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 10:57:13 AM GMT","de Pós-graduação","Mestrado em Economia","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/27 11:00:45 AM GMT","de Graduação","Ciências Contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:09:19 AM GMT","de Graduação","Terapia ocupacional ","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Não","Sim"
"2020/06/27 11:09:41 AM GMT","de Graduação","Engenharia de Redes","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 11:10:39 AM GMT","de Graduação","Arquitetura e urbanismo","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:14:23 AM GMT","de Graduação","Engenharia de redes ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:18:51 AM GMT","de Graduação","História","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:20:11 AM GMT","de Graduação","Biblioteconomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:26:19 AM GMT","de Graduação","Ciências contábeis ","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 11:27:51 AM GMT","de Graduação","Engenharia química ","Sim","Moderada","Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:32:48 AM GMT","de Graduação","Eng. mecatrônica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:34:04 AM GMT","de Graduação","Letras tradução inglês","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:34:47 AM GMT","de Graduação","Saúde coletiva ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 11:38:02 AM GMT","de Graduação","Farmácia FCE","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:38:47 AM GMT","de Graduação","Fisioterapia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:39:14 AM GMT","de Graduação","Farmacia ","Sim","Lenta","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:44:36 AM GMT","de Graduação","Engenharia química ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:49:20 AM GMT","de Graduação","Engenharia Elétrica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 11:54:44 AM GMT","de Graduação","Arquitetura e urbanismo","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:00:24 PM GMT","de Pós-graduação","Engenharias ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:08:47 PM GMT","de Pós-graduação","PPGO","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:21:34 PM GMT","de Graduação","Fonoaudiologia ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:25:19 PM GMT","de Graduação","Arquitetura ","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/27 12:30:50 PM GMT","de Graduação","Engenharia aeroespacial","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:32:57 PM GMT","de Graduação","Saúde Coletiva","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 12:33:14 PM GMT","de Graduação","Administração","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 12:34:43 PM GMT","de Graduação","design","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:44:18 PM GMT","de Pós-graduação","Ensino de Ciências","Sim","Rápida","Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:44:57 PM GMT","de Graduação","Administração ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 12:50:48 PM GMT","de Graduação","Engenharia de produção ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 12:54:24 PM GMT","de Graduação","Contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:54:49 PM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 12:55:10 PM GMT","de Graduação","Fisioterapia","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:55:37 PM GMT","de Graduação","Letras","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:59:48 PM GMT","de Graduação","Engenharia mecatrônica","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 1:03:07 PM GMT","de Graduação","Engenharia de Software","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:29:21 PM GMT","de Graduação","Pedagogia","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 1:41:50 PM GMT","de Graduação","Engenharia química ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:02:16 PM GMT","de Graduação","Biblioteconomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:06:52 PM GMT","de Graduação","Direito","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:42:06 PM GMT","de Graduação","Lea","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Sim","Sim"
"2020/06/27 2:54:12 PM GMT","de Graduação","Computação","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:56:08 PM GMT","de Graduação","Geografia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:57:57 PM GMT","de Graduação","Engenharia mecânica","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:06:35 PM GMT","de Graduação","Fisioterapia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:12:54 PM GMT","de Graduação","Comunicação Organizacional ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:18:01 PM GMT","de Graduação","Ciências Sociais","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:30:31 PM GMT","de Graduação","Jornalismo","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 3:30:37 PM GMT","de Graduação","LEA","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 3:37:45 PM GMT","de Graduação","Ciências sociais ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:50:10 PM GMT","de Graduação","Terapia ocupacional ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 4:08:40 PM GMT","de Graduação","física","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 4:14:27 PM GMT","de Graduação","Licenciatura em biologia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 4:16:20 PM GMT","de Graduação","Direito","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 4:24:24 PM GMT","de Graduação","Relações Internacionais ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 4:26:19 PM GMT","de Graduação","letras (inglês)","Sim","Lenta","Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 4:31:11 PM GMT","de Graduação","Engenharia Mecatrônica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 4:49:21 PM GMT","de Graduação","Serviço social","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 4:49:24 PM GMT","de Graduação","Letras português ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 4:52:42 PM GMT","de Graduação","Pedagogia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 4:56:52 PM GMT","de Graduação","Língua e Literatura Japonesa ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:10:12 PM GMT","de Graduação","Estatística","Sim","Lenta","Smartphone","Não","Sim","Não"
"2020/06/27 5:18:31 PM GMT","de Graduação","Ciências Contábeis e Atuariais","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 5:23:54 PM GMT","de Graduação","Licenciatura em Química ","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/27 5:24:16 PM GMT","de Graduação","Japonês","Não","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 5:43:28 PM GMT","de Graduação","Direito","Sim","Moderada","Notebook e/ou computador","Não","Não","Não"
"2020/06/27 5:45:19 PM GMT","de Graduação","Direito","Sim","Moderada","Smartphone","Sim","Não","Não"
"2020/06/27 6:01:20 PM GMT","de Graduação","Biblioteconomia","Sim","Lenta","Smartphone;Tablet","Não","Sim","Sim"
"2020/06/27 6:16:03 PM GMT","de Graduação","Biblioteconomia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 6:27:36 PM GMT","de Graduação","Medicina","Não","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 6:29:11 PM GMT","de Graduação","Engenharia civil","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 6:34:04 PM GMT","de Graduação","Comunicação organizacional","Sim","Moderada","Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 7:20:39 PM GMT","de Graduação","Engenharia civil","Sim","Moderada","Smartphone","Sim","Não","Sim"
"2020/06/27 7:43:55 PM GMT","de Graduação","Design","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 7:57:25 PM GMT","de Graduação","Direito ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 7:58:16 PM GMT","de Graduação","Ciências econômicas","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 8:01:22 PM GMT","de Graduação","Letras inglês","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 8:47:15 PM GMT","de Graduação","Engenharia de software ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 8:55:22 PM GMT","de Graduação","Pedagogia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 9:02:36 PM GMT","de Graduação","engenharia de computaçao","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 9:23:17 PM GMT","de Graduação","Engenharia ambiental","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 9:24:47 PM GMT","de Graduação","Gestão do agronegócio","Não","Lenta","Smartphone","Não","Não","Não"
"2020/06/27 9:27:15 PM GMT","de Graduação","Ciências contábeis ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 10:07:02 PM GMT","de Graduação","Engenharia elétrica ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 10:10:35 PM GMT","de Graduação","Engenharia da computação","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 10:38:25 PM GMT","de Graduação","ciência política","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 10:49:42 PM GMT","de Pós-graduação","Engenharia Biomédica","Sim","Moderada","Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 11:25:16 PM GMT","de Graduação","Pedagogia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 11:47:04 PM GMT","de Graduação","Pedagogia ","Sim","Moderada","Smartphone","Não","Sim","Não"
"2020/06/27 11:51:36 PM GMT","de Graduação","Comunicação organizacional","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 12:11:24 AM GMT","de Graduação","Engenharia de Produção ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 12:44:26 AM GMT","de Graduação","Administração ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 12:50:40 AM GMT","de Graduação","Ciências Ambientais","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 12:57:16 AM GMT","de Graduação","Engenharia de Computação","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 1:12:22 AM GMT","de Graduação","Medicina","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/28 2:38:46 AM GMT","de Graduação","Ciências ambientais ","Sim","Lenta","Smartphone","Não","Não","Sim"
"2020/06/28 2:59:04 AM GMT","de Graduação","Licenciatura matemática ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 3:22:42 AM GMT","de Graduação","Educação física ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 3:58:02 AM GMT","de Graduação","Economia ","Sim","Moderada","Smartphone","Sim","Não","Não"
"2020/06/28 6:39:16 AM GMT","de Graduação","direito","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 6:53:52 AM GMT","de Graduação","Letras","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/28 7:40:11 AM GMT","de Graduação","Engenharia Elétrica ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 7:51:29 AM GMT","de Graduação","Letras - Português","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 9:35:39 AM GMT","de Graduação","Farmácia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 12:44:58 PM GMT","de Graduação","Ciências Biológicas","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Sim"
"2020/06/28 1:02:52 PM GMT","de Graduação","Engenharia elétrica ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 1:03:12 PM GMT","de Graduação","Engenharia elétrica ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 3:42:26 PM GMT","de Graduação","Línguas Estrangeiras Aplicadas ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/28 4:36:14 PM GMT","de Graduação","Enfermagem ","Sim","Moderada","Smartphone;Tablet","Sim","Sim","Sim"
"2020/06/28 5:16:35 PM GMT","de Graduação","biologia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 5:39:47 PM GMT","de Graduação","Saúde coletiva ","Sim","Moderada","Notebook e/ou computador","Sim","Não","Sim"
"2020/06/28 7:31:22 PM GMT","de Graduação","Arquivologia","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/28 8:24:05 PM GMT","de Graduação","ciências ambientais","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 9:48:30 PM GMT","de Graduação","Farmácia","Não","Lenta","Smartphone","Não","Não","Não"
"2020/06/28 10:15:06 PM GMT","de Graduação","Engenharia florestal","Sim","Lenta","Smartphone","Não","Não","Sim"
"2020/06/28 10:15:25 PM GMT","de Graduação","Eng. Floresto","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/28 10:19:29 PM GMT","de Graduação","Engenharia florestal","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/28 10:20:15 PM GMT","de Graduação","Engenharia Florestal ","Sim","Rápida","Smartphone;Tablet","Sim","Não","Não"
"2020/06/29 12:12:04 AM GMT","de Graduação","Eng. Floresto","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 2:41:18 AM GMT","de Graduação","Biologia bacharel","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 10:05:44 AM GMT","de Graduação","Turismo ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 12:18:36 PM GMT","de Graduação","Agronomia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 2:10:48 PM GMT","de Graduação","Ciência Política ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/29 4:23:16 PM GMT","de Graduação","Terapia ocupacional","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 4:57:17 PM GMT","de Graduação","Letras Francês Tradução ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/29 5:10:14 PM GMT","de Graduação","Ciências contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 6:14:22 PM GMT","de Graduação","Biblioteconomia","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 7:37:28 PM GMT","de Graduação","Administração","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/29 8:03:33 PM GMT","de Graduação","Ciências Sociais","Sim","Rápida","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/29 8:35:30 PM GMT","de Graduação","Fisioterapia ","Sim","Lenta","Smartphone","Sim","Sim","Sim"
"2020/06/30 2:20:58 AM GMT","de Graduação","Comunicação Social","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/30 3:05:05 AM GMT","de Graduação","Enfermagem","Sim","Lenta","Notebook e/ou computador","Não","Não","Sim"
"2020/06/30 5:01:04 AM GMT","de Graduação","Relações Internacionais ","Sim","Moderada","Smartphone","Sim","Não","Sim"
"2020/06/30 2:53:38 PM GMT","de Graduação","Pedagogia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/30 3:04:19 PM GMT","de Graduação","Física - Licenciatura","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/30 4:31:50 PM GMT","de Pós-graduação","Ciências do comportamento","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
